ZIP,POP
16160,743
16161,606
16201,16971
16210,931
16211,110
16212,312
16213,114
16214,10114
16217,73
16218,1135
16222,2671
16223,183
16224,1221
16226,7567
16228,424
16229,5269
16230,419
16232,4201
16233,1084
16235,1157
16236,288
16238,434
16239,4952
16240,1541
16242,4233
16244,376
16245,213
16246,257
16248,3052
16249,2005
16250,544
16253,95
16254,3264
16255,1573
16256,2138
16258,1876
16259,1994
16260,377
16262,2888
16263,261
16301,15418
16311,516
16312,0
16313,1776
16314,5365
16316,5159
16317,1321
16319,1374
16321,47
16322,81
16323,15624
16326,380
16327,2916
16328,346
16329,511
16331,58
16332,61
16333,309
16334,327
16335,27419
16340,1705
16341,1831
16342,2139
16343,571
16344,458
16345,3541
16346,3214
16347,2121
16350,2577
16351,1518
16352,206
16353,2753
16354,10539
16360,1305
16361,22
16362,968
16364,1261
16365,17639
16370,234
16371,3115
16372,448
16373,3325
16374,1846
16401,6780
16402,855
16403,6790
16404,3433
16405,801
16406,3069
16407,11034
16410,1727
16411,1590
16412,10629
16415,9596
16416,206
16417,7861
16420,634
16421,2618
16422,410
16423,4204
16424,4662
16426,3548
16427,176
16428,12279
16433,5148
16434,3217
16435,1785
16436,865
16438,7568
16440,888
16441,10562
16442,3061
16443,1247
16444,1101
16501,1829
16502,15752
16503,16089
16504,15572
16505,15911
16506,24438
16507,9572
16508,16182
16509,26863
16510,25952
16511,11207
16546,762
16563,1626
16601,31545
16602,28968
16611,2512
16613,1370
16616,127
16617,2851
16619,313
16620,358
16621,716
16622,185
16623,553
16624,218
16625,4060
16627,2063
16630,4869
16631,96
16633,278
16634,348
16635,12477
16636,982
16637,2157
16638,39
16639,1534
16640,670
16641,2464
16645,138
16646,2271
16647,682
16648,14648
16650,1749
16651,5834
16652,17916
16655,1451
16656,1293
16657,1380
16659,259
16661,873
16662,5561
16664,2091
16665,328
16666,3067
16667,1454
16668,3307
16669,2231
16670,47
16671,504
16672,214
16673,5470
16674,689
16677,337
16678,2488
16679,767
16680,292
16682,39
16683,337
16685,148
16686,13198
16689,466
16691,299
16692,655
16693,4228
16694,106
16695,1193
16699,0
16701,17126
16720,1294
16724,118
16725,268
16726,737
16727,250
16728,52
16729,917
16730,76
16731,2341
16732,238
16733,161
16734,264
16735,5875
16738,2498
16740,1034
16743,3808
16744,172
16745,552
16746,1248
16748,2718
16749,4031
16750,505
16801,45280
16802,11485
16803,25708
16820,1327
16821,321
16822,2202
16823,30367
16825,257
16826,461
16827,4693
16828,4427
16829,730
16830,13264
16832,526
16833,5332
16834,280
16835,203
16836,1098
16837,197
16838,1792
16839,800
16840,504
16841,6300
16843,578
16844,2699
16845,970
16847,263
16848,375
16849,236
16851,593
16852,321
16853,161
16854,614
16855,146
16858,3737
16859,566
16860,194
16861,303
16863,648
16865,1949
16866,10072
16868,400
16870,7298
16871,30
16872,1893
16874,1327
16875,4081
16876,267
16877,2092
16878,1756
16879,411
16881,2379
16882,387
16901,10245
16911,479
16912,2358
16914,2224
16915,6134
16917,1112
16920,1976
16921,408
16922,1868
16923,1482
16925,3484
16926,886
16927,494
16928,1479
16929,2529
16930,1237
16932,867
16933,6518
16935,1177
16936,2008
16937,151
16938,696
16939,279
16940,222
16941,69
16942,830
16943,505
16946,2389
16947,4699
16948,1540
16950,3190
17002,815
17003,11903
17004,4934
17005,339
17006,1105
17007,6228
17009,1958
17010,373
17011,36532
17013,36184
17015,20923
17016,963
17017,1589
17018,4239
17019,18237
17020,9147
17021,855
17022,30855
17023,3500
17024,1935
17025,16651
17026,4105
17027,1980
17028,3703
17029,192
17030,859
17032,8123
17033,17751
17034,2492
17035,934
17036,22390
17037,1006
17038,8334
17039,67
17040,2376
17041,386
17042,38400
17043,5720
17044,20986
17045,3316
17046,31040
17047,2654
17048,4220
17049,3609
17050,38141
17051,4831
17052,1635
17053,4948
17055,37232
17056,45
17057,23029
17058,1832
17059,7943
17060,1095
17061,7188
17062,4462
17063,3265
17064,788
17065,3782
17066,5387
17067,15389
17068,4223
17069,158
17070,16119
17071,121
17072,244
17073,5566
17074,7296
17075,100
17076,13
17077,106
17078,21646
17080,320
17081,406
17082,3097
17083,97
17084,4524
17086,2377
17087,2739
17088,943
17090,5645
17093,1386
17094,2427
17097,801
17098,2265
17099,1031
17101,1936
17102,7434
17103,12317
17104,20208
17109,24351
17110,24743
17111,32624
17112,35818
17113,10852
17120,0
17201,26330
17202,29278
17210,163
17211,439
17212,734
17213,627
17214,819
17215,286
17217,220
17219,406
17220,415
17221,577
17222,11576
17223,233
17224,1743
17225,20844
17228,1154
17229,1206
17233,5311
17235,949
17236,7939
17237,1998
17238,1685
17239,219
17240,4001
17241,12127
17243,1193
17244,2216
17246,216
17247,501
17249,401
